,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,capex_h,opex_h,costo_polim_h,PPM_h,Costo_Kw_hr_h,produc_h,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,3.2,550,244,0.9,1,1,1,1,1,0,0,14687.6472,0,14687.6472,14687.6472,0.7638584805733307,47354.3107,0,201251.9684,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,15.953,15.953,4.0733,4.0733,100658.9916,45150.5637,19801.3271,180298.5296,0,100658.9916,45150.5637,19801.3271,180298.5296,0
1,1,50,3.2,550,244,1.1,1,1,1,1,1,0,0,5684.3755,0,5684.3755,5684.3755,0.44316315691932434,57877.4909,0,201251.9684,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,15.953,15.953,4.9785,4.9785,100658.9916,55184.0223,18771.1401,180298.5296,0,100658.9916,55184.0223,18771.1401,180298.5296,0
2,2,50,3.2,550,244,1,0.9,1,1,1,1,0,0,10564.1846,0,10564.1846,10564.1846,0.5976239191012953,52615.9008,0,200225.8294,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,15.8715,15.8715,4.5259,4.5259,100150.2374,50167.293,19416.8146,180298.5296,0,100150.2374,50167.293,19416.8146,180298.5296,0
3,3,50,3.2,550,244,1,1.1,1,1,1,1,0,0,9807.8382,0,9807.8382,9807.8382,0.5773414945730827,52615.9008,0,202278.1074,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,16.0344,16.0344,4.5259,4.5259,101167.7458,50167.293,19155.6526,180298.5296,0,101167.7458,50167.293,19155.6526,180298.5296,0
4,4,50,3.2,550,244,1,1,1,1,1,0.9,0,0,4665.7744,0,4665.7744,4665.7744,0.42873385205505427,52615.9008,0,181126.7716,0.0,9.939821255260902,9.939821255260902,0.0,9.939821255260902,9.939821255260902,2055.0,2055.0,15.953,15.953,5.0288,5.0288,90593.0925,50167.293,16842.5167,162268.6767,0,90593.0925,50167.293,16842.5167,162268.6767,0
5,5,50,3.2,550,244,1,1,1,1,1,1.1,0,0,15706.2483,0,15706.2483,15706.2483,0.7462315616193234,52615.9008,0,221377.1652,0.0,12.148670423096663,12.148670423096663,0.0,12.148670423096663,12.148670423096663,2055.0,2055.0,15.953,15.953,4.1145,4.1145,110724.8908,50167.293,21729.9504,198328.3826,0,110724.8908,50167.293,21729.9504,198328.3826,0
6,6,50,3.2,550,244,1,1,0.9,1,1,1,0,0,13658.6724,0,13658.6724,13658.6724,0.6806286045993737,52615.9008,0,191946.3364,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,15.2169,15.2169,4.5259,4.5259,95986.1414,50167.293,20486.4228,180298.5296,0,95986.1414,50167.293,20486.4228,180298.5296,0
7,7,50,3.2,550,244,1,1,1.1,1,1,1,0,0,6709.3495,0,6709.3495,6709.3495,0.4943368090750032,52615.9008,0,210557.6004,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,16.689,16.689,4.5259,4.5259,105331.8419,50167.293,18090.0452,180298.5296,0,105331.8419,50167.293,18090.0452,180298.5296,0
8,8,50,3.2,550,244,1,1,1,0.9,1,1,0,0,13658.6724,0,13658.6724,13658.6724,0.6806286045993742,52615.9008,0,191946.3364,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,15.2169,15.2169,4.5259,4.5259,95986.1414,50167.293,20486.4228,180298.5296,0,95986.1414,50167.293,20486.4228,180298.5296,0
9,9,50,3.2,550,244,1,1,1,1.1,1,1,0,0,6709.3495,0,6709.3495,6709.3495,0.4943368090750035,52615.9008,0,210557.6004,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,16.689,16.689,4.5259,4.5259,105331.8419,50167.293,18090.0452,180298.5296,0,105331.8419,50167.293,18090.0452,180298.5296,0
10,10,50,3.2,550,244,1,1,1,1,0.9,1,0,0,12340.4931,0,12340.4931,12340.4931,0.6453117907310233,52615.9008,0,195447.2439,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,15.492,15.492,4.5259,4.5259,97757.88,50167.293,20032.8635,180298.5296,0,97757.88,50167.293,20032.8635,180298.5296,0
11,11,50,3.2,550,244,1,1,1,1,1.1,1,0,0,8031.5296,0,8031.5296,8031.5296,0.5296536229433548,52615.9008,0,207056.6929,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,16.4139,16.4139,4.5259,4.5259,103560.1033,50167.293,18539.6037,180298.5296,0,103560.1033,50167.293,18539.6037,180298.5296,0
12,12,50,3.2,550,244,1,1,1,1,1,1,0,0,10186.0114,0,10186.0114,10186.0114,0.5874827068371883,52615.9008,0,201251.9684,0.0,11.04424583917878,11.04424583917878,0.0,11.04424583917878,11.04424583917878,2055.0,2055.0,15.953,15.953,4.5259,4.5259,100658.9916,50167.293,19286.2336,180298.5296,0,100658.9916,50167.293,19286.2336,180298.5296,0
